Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y,Nozare/Objekta veids,Darbojās 2017.gadā,Bibliotēkas vadītājs/direktors,Reģistrācijas nr. LR Uzņēmumu reģistrā,Reģistrācijas datums LR Uzņēmumu reģistrā,Reģistrācijas nr. LR Kultūras ministrijas Bibliotēku reģistrā,Reģistrācijas datums LR Kultūras ministrijas Bibliotēku reģistrā,Juridiskais statuss,Akreditācijas apliecības nr.,Akreditācijas datums,Akreditācijas termiņš,Dibināšanas gads,Sākums,Darbība,Papildus informācija,Ēkas īpašuma forma,Ēkas uzcelšanas gads,Kultūras pieminekļa Valsts aizsardzības Nr.,Teritorijas kopējā platība (m2),Papildu informācija par infrastruktūru,Telpas pieejamas cilvēkiem ar kustību traucējumiem,Ir 3 fāzu elektrības pieslēgums,Telpu kopplatība (m2),Lietotāju vietu skaits bibliotēkā,Aktīvo lietotāju kopskaits 2017.gadā,Bērni un jaunieši līdz 18 gadiem,Pārējie,Fizisko apmeklējumu kopskaits,Fiziskais apmeklējums - Pieaugušie,Fiziskais apmeklējums - Bērni un jaunieši līdz 18 gadiem,Virtuālais apmeklējums,Sociālo tīklu apmeklējums,Izsniegumu kopskaits,No kopējā izsnieguma skaita - bērniem un jauniešiem līdz 18 gadiem,Elektroniski nosūtīto vienību kopskaits,Jaunieguvumu kopskaits,Izslēgto dokumentu kopskaits,Krājumu kopskaits 2017.gada beigās,Bezmaksas Wi-Fi,Integrētā bibliotēku informācijas sistēma,Cita integrētā bibliotēku informācijas sistēma,Datubāžu kopskaits,Printeru kopskaits,Skeneru kopskaits,Kopējamo iekārtu kopskaits,Multifunkcionālo iekārtu kopskaits,Pamatinformācija bibliotēkas vietnē pieejama,Vietnes automātiskās tulkošanas iespēja,Pašapkalpošanas grāmatu izsniegšanas/ nodošanas sistēma,Digitālo kolekciju skaits 2017.gada beigās,Izstāžu kopskaits 2017.gadā,Tematiskie pasākumi,Projektizstrāde,Izdevējdarbība,Zinātniskās pētniecības darbs
Piltenes pilsētas bibliotēka,LV-BIB-000868,"Maija iela 6, Piltene, Ventspils nov., LV-3620",57.22217,21.67739,344508,359764,Bibliotēkas,Jā,Antra Krauze,90009425996,07.10.2010,BLB0907,11.03.2004,Pašvaldības struktūrvienība,429A,28.08.2014,28.08.2019,1923,Piltenes pilsētas bibliotēka dibināta 1923. gadā kā Piltenes lauksaimniecības biedrības bibliotēka. No 1933. gada bibliotēka ir Piltenes pašvaldības pārziņā.,"Bibliotēkas mērķis – nodrošināt Piltenes pilsētas un pagasta iedzīvotājiem brīvu un neierobežotu informācijas saņemšanu, veikt kultūras, informācijas, izglītības, sociālās un izklaidējošās funkcijas.;","Katra mēneša pēdējā ceturtdiena - slēgts.;Jūnijā, jūlijā, augustā - ceturtdienās - 10:00-17:00; sestdienās - slēgts.",Pašvaldības īpašums,1982,,,"Bibliotēka atrodas pirmsskolas izglītības iestādes ""Taurenītis"" ēkas atsevišķā korpusā.",,Jā,166.00000000,45,476,200,276.00000000,6868.00000000,2731,4137,,18150,8010.00000000,1050,,925.00000000,577.00000000,11733.00000000,Jā,ALISE;ALISE,,3.00000000,1.00000000,1.00000000,1.00000000,2.00000000,,,,,79,46,1,,
Piltenes vidusskolas bibliotēka,LV-BIB-013303,"Lielā iela 13, Piltene, Ventspils nov., LV-3620",57.22518,21.67496,344848,359629,Bibliotēkas,Jā,Lienīte Radvila,,,BLB1948,04.09.2007,Pašvaldības struktūrvienība,2430,27.04.2012,01.05.2018,,1952. gada 19. septembris,,,Pašvaldības īpašums,1973,,,,,Jā,44.71000000,4,151,138,13.00000000,653.00000000,89,564,,,2656.00000000,2549,,265.00000000,0.00000000,8936.00000000,,ALISE,,0.00000000,,1.00000000,,,,,,,,,,,
Plāņu pagasta Jaunklidža bibliotēka,LV-BIB-000832,"Saieta Nams, Jaunklidzis, Plāņu pag., Strenču nov., LV-4727",57.57717,25.77934,383031,606405,Bibliotēkas,Jā,Līga Rābante,90007137329,03.08.2009,BLB0450,09.01.2004,Pašvaldības struktūrvienība,776A,05.09.2016,05.09.2021,1949,,"Bibliotēkas misija - būt par klientorientētu bibliotēku, kas nodrošina operatīvus informācijas pakalpojumus, saturīgu brīvā laika pavadīšanu un pagasta vēsturiskā  mantojuma saglabāšanu.",,Pašvaldības īpašums,2010,,247.00000000,,Jā,Jā,195.00000000,25,102,23,79.00000000,1588.00000000,1430,158,,,2869.00000000,396,,435.00000000,421.00000000,3598.00000000,Jā,ALISE,,2.00000000,,,,1.00000000,,,,,12,12,,,
Platones pagasta bibliotēka,LV-BIB-000336,"Atspulgu iela 4, Platone, Platones pag., Jelgavas nov., LV-3021",56.54003,23.693,266229,481121,Bibliotēkas,Jā,Melita Mazūdre,90000076279,01.01.1996,BLB1364,18.05.1996,Pašvaldības iestāde,117A,11.06.2014,11.06.2019,1946,,"Platones bibliotēkas mērķis - sniegt ikvienam lietotājam kvalitatatīvus bibliotekāros un informatīvos   pakalpojumus , rosinot  viņu  izglītības  iespējas . Veicināt lietderīgu un interesantu brīvā laika pavadišanu.",Trešdiena - metodiskā diena,Pašvaldības īpašums,1760,,391.20000000,,Jā,Jā,40.60000000,17,212,20,192.00000000,2360.00000000,1712,648,,,3547.00000000,347,,377.00000000,0.00000000,4789.00000000,Jā,ALISE,,2.00000000,,,,1.00000000,,,,,13,5,,,
Platones pagasta Lielvircavas bibliotēka,LV-BIB-000337,"Lielvircavas iela 4, Lielvircava, Platones pag., Jelgavas nov., LV-3036",56.51525,23.75128,263457,484695,Bibliotēkas,Jā,Māra Ziemele,90000076211,01.04.1996,BLB1365,18.05.2004,Pašvaldības iestāde,118A,18.09.2012,18.09.2017,1944,1944.gada 27.decembris,"Lielvircavas bibliotēka ir Platones pagasta informācijas, kultūras un izglītības ietāde. Tās misija - sekmēt sabiedrības intelektuālo un sabiedrisko attīstību, nodrošināt pieeju visplašākajiem informācijas resursiem. Bibliotēka nodrošina autorizētās tiešsaites datu bāzes Letonika.lv pieejamību. Darbā izmantojam Jelgavas novada elektronisko kopkatalogu un citas Zinātniskās bibliotēkas datu bāzes. "," Trešdiena - metodiskā diena",Juridisko personu īpašums,1980,,1050.00000000,,,Jā,53.00000000,8,252,71,181.00000000,3602.00000000,2710,892,,,6727.00000000,238,,498.00000000,555.00000000,4554.00000000,Jā,,,2.00000000,1.00000000,,1.00000000,1.00000000,,,,,17,14,2,,
Pļaviņu novada bibliotēka,LV-BIB-000097,"Daugavas iela 49, Pļaviņas, Pļaviņu nov., LV-5120",56.61648,25.72219,276023,605687,Bibliotēkas,Jā,Ineta Grandāne,LV90000043649,05.09.2009,BLB0291,10.05.2010,Pašvaldības struktūrvienība,4244,15.10.2014,15.10.2019,1946,"Aizsākums bibliotēkas darbībai Pļaviņās meklējams 1920.gada septembrī, kad tiek nodibināta Latvijas Kultūras Veicināšanas biedrības Pļaviņu nodaļa. Dokumentāli pierādīts bibliotēkas dibināšanas gads vēl jānoskaidro, taču avoti liecina, ka bibliotēka Pļaviņu miestā darbojusies jau 1922.gadā.;1930.gadā Žūpības apkarošanas fonds piešķīris Pļaviņu bibliotēkai 100 Ls.;Ir zināms, ka jau 1935.gadā pilsētas bibliotēka ir atradusies vienā ēkā ar pašvaldību – Daugavas ielā 29 un tās krājumā bijušas 1000 grāmatas. Bibliotēku pārzinājis Alfreds Šnitke. Šajā pašā laikā paralēli darbojusies arī Latvijas Kultūras veicināšanas biedrības Pļaviņu nodaļas bibliotēka Daugavas ielā 1, kuras krājumā 906 grāmatas. 1937.gadā ar Kultūras fonda domes lēmumu šīs bibliotēkas krājums nodots Pļaviņu pilsētas valdes pārziņā – tātad kļuvis par pilsētas bibliotēkas īpašumu.;Pēc Otrā pasaules kara beigām jaunā okupācijas vara dibināja bibliotēkas no jauna, līdz ar to pašlaik dokumentāli apstiprinātais Pļaviņu pilsētas bibliotēkas dibināšanas gads ir 1946.;2009.gads bibliotēkas vēsturē nāk ar pārmaiņām – tiek izveidots Pļaviņu novads un Pļaviņu 1.bibliotēka kļūst par Pļaviņu novada domes struktūrvienību, iegūstot jaunu nosaukumu un jaunu organizācijas struktūru – Pļaviņu novada bibliotēka ar filiālēm – visas novada bibliotēkas, izņemot Pļaviņu novada bērnu bibliotēku, kļūst par novada bibliotēkas filiālēm, sāk strādāt centralizētā modelī, kur novada bibliotēka veic pamatā administratīvās un koordinējošās funkcijas. No 2015.gada februāra arī Pļaviņu novada bērnu bibliotēka ir novada bibliotēkas filiāle.;2004.gadā bibliotēka sāk strādāt ar BIS ALISE, no 2010.gada bibliotēkas krājums pilnībā rekatoloģizēts un bibliotēka uzsāk automatizētu lietotāju apkalpošanu.","Bibliotēka ir informācijas, kultūras un izglītības, sabiedriskās saskarsmes centrs novadā un pilsētā, kas sniedz iedzīvotājiem informācijas pakalpojumus, piedāvā mūžizglītības iespējas; rada nodrošinājumu saturīgai brīvā laika pavadīšanai un izklaidei, tādā veidā sniedzot savu ieguldījumu novada iedzīvotāju labklājībā un vietējās sabiedrības attīstībā.",Svētdiena - brīvdiena,Pašvaldības īpašums,1952,,1425.00000000,Bibliotēka izvietota vienā ēkā ar Pļaviņu novada Kultūras centru,Jā,Jā,153.20000000,13,1123,117,1006.00000000,11247.00000000,10462,785,,168547,26134.00000000,560,432,796.00000000,1011.00000000,18845.00000000,Jā,ALISE,,2.00000000,1.00000000,1.00000000,,1.00000000,Latviešu valoda,,,2,44,29,2,,
Pļaviņu novada bibliotēkas filiāle Pļaviņu novada bērnu bibliotēka,LV-BIB-000099,"Rīgas iela 11A, Pļaviņas, Pļaviņu nov., LV-5120",56.61324,25.70343,275634,604545,Bibliotēkas,Jā,,LV90000043649,28.06.2011,BLB0293,02.12.2003,Pašvaldības struktūrvienība,425A,15.10.2014,15.10.2019,1952,"Gadu gaitā mainījušies bibliotēkas nosaukumi, kā arī atrašanās vietas. Sākot ar 2015. gada 22.februāri pamatojoties uz Pļaviņu novada pašvaldības 2014. gada 22. decembra lēmumu Pļaviņu novada bērnu bibliotēka tika pievienota pie Pļaviņu novada bibliotēkas. Līdz ar to bibliotēkas esošais nosaukums ir Pļaviņu novada bibliotēkas filiāle Pļaviņu bērnu bibliotēka.","Pļaviņu novada bibliotēkas filiāle Pļaviņu bērnu bibliotēka sniedz bibliotekāros pakalpojumus un rīko veicināšanas pasākumus bērniem un jauniešiem, kā arī cita vecuma apmeklētājiem. Nodrošina informācijas pieejamību ikvienam novada iedzīvotājam. 2017. gadā bibliotēka piedalījās Pļaviņu novada domes rīkotajā projektu konkursā ar savu izstrādāto projektu ""Mēs -; Pļaviņu bērniem"", no visām projekta aktivitātēm vislielākā atsaucība bija kanisterapijai. Bibliotēka aktīvi darbojas VKF un Nacionālās bibliotēkas rīkotajā lasīšanas veicināšanas programmā ""Bērnu, jauniešu un vecāku žūrija"". ",,Pašvaldības īpašums,1989,,6809.00000000,,,Jā,140.00000000,35,607,468,139.00000000,9537.00000000,2975,6562,,,9402.00000000,6824,,245.00000000,539.00000000,10079.00000000,Jā,ALISE,,1.00000000,2.00000000,,2.00000000,1.00000000,,,,,31,63,2,,
Pļaviņu novada ģimnāzijas  bibliotēka,LV-BIB-012450,"Daugavas iela 101, Pļaviņas, Pļaviņu nov., LV-5120",56.61864,25.73854,276289,606684,Bibliotēkas,Jā,Ilze Luksa,2009,11.03.2004,BLB0957,14.09.2009,Pašvaldības struktūrvienība,4516902770,10.03.2015,09.03.2021,1918,"Pļaviņās skola dibināta 1918. gadā, Odzienā- 1892. gadā.Vēlāk  pašreizējā Pļaviņu novada teritorijā atvērtas vairākas skolas, skolas mainījušas nosaukumus, apvienotas, taču bibliotēka skolās bijusi vienmēr.  ","Pļaviņu novada ģimnāzija - vidusskola ar filiāli Odzienā, kas īsteno  vispārizglītojošas mācību programmas un piedāvā daudzveidīgu interešu izglītību. Bibliotēka darbojas kā skolēnu atbalsta punkts, kurā var lasīt, saņemt interesējošu lasāmvielu, mācību grāmatas, mācīties, saturīgi pavadīt brīvo laiku.",,Pašvaldības īpašums,1966,,5192.54000000,Ēkai Daugavas ielā 101 Pļaviņās īstenots siltināšanas projekts 2012.g.,Jā,,86.68000000,20,483,420,63.00000000,1907.00000000,157,1750,,,6086.00000000,4609,,514.00000000,0.00000000,40636.00000000,Jā,ALISE,,0.00000000,1.00000000,,1.00000000,1.00000000,Latviešu valoda,,,,9,6,,,
Pļavniekkalna sākumskolas bibliotēka,LV-BIB-013136,"Pļavniekkalna iela 20, Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",56.87054,24.18567,302991,511318,Bibliotēkas,Jā,Agita Baltmane,,,,,Pašvaldības iestāde,2695,12.06.2013,11.06.2019,1993,,,,Pašvaldības īpašums,1908,,,,,Jā,19.00000000,8,215,197,18.00000000,3711.00000000,415,3296,,,4315.00000000,3284,,308.00000000,0.00000000,8558.00000000,Jā,ALISE,,0.00000000,1.00000000,,,,,,,,4,4,,,
Pociema bibliotēka,LV-BIB-000499,"Liepu iela 8, Pociems, Katvaru pag., Limbažu nov., LV-4061",57.59624,24.84755,384076,550660,Bibliotēkas,Jā,Rota Donska,90009231789,04.01.2010,BLB0260,25.11.2003,Pašvaldības iestāde,715A,16.11.2015,15.11.2020,1949,,"Pociema bibliotēka ir Katvaru pašvaldības izglītojoša, informatīva un kultūras iestāde, jaunākās informācijas ieguves vieta, kur bez maksas var saņemt informāciju, grāmatas, preses izdevumus.",,Pašvaldības īpašums,1971,,1912.00000000,,,Jā,108.00000000,15,184,26,158.00000000,3396.00000000,2758,638,,179,6029.00000000,928,3,693.00000000,298.00000000,4590.00000000,Jā,ALISE,,2.00000000,,,,1.00000000,,,,,62,8,,,
Popes bibliotēka,LV-BIB-000871,"Skolas iela 14, Pope, Popes pag., Ventspils nov., LV-3614",57.40078,21.85261,364037,370969,Bibliotēkas,Jā,Steidzīte Cīrule,nr. 90000052035,,BLB0908,11.03.2004,Pašvaldības struktūrvienība,430,28.08.2014,28.08.2019,1947,,,Mēneša pēdējās ceturtdienās – slēgts,Pašvaldības īpašums,1988,,,,Jā,Jā,140.00000000,20,182,30,152.00000000,2309.00000000,1679,630,,,9214.00000000,79,,541.00000000,162.00000000,6653.00000000,Jā,ALISE,,3.00000000,1.00000000,1.00000000,,1.00000000,,,,3,62,19,1,,
Popes pamatskolas bibliotēka,LV-BIB-013294,"Popes pamatskola, Pope, Popes pag., Ventspils nov., LV-3614",57.40534,21.85747,364536,371277,Bibliotēkas,Jā,Līga Soja,4112900049,29.10.2009,BLB1742,31.03.2005,Pašvaldības iestāde,3259,05.04.2016,04.05.2022,1954,1954.gads,"Bibliotēkas galvenais uzdevums apgādāt skolēnus ar mācību grāmatām un daiļliteratūru, skolotājus ar metodisko literatūru. Bibliotēkas lasītājos aktīvi iesaistās sākumskolas skolēni. Tiek organizētas bibliotekārās stundas, dažādas izstādes uz svētkiem un rakstnieku jubilejās. Pārskata perioda laikā čaklākie lasītāji saņem pārsteiguma balviņas.",,Pašvaldības īpašums,1725,,,,,Jā,80.00000000,15,75,65,10.00000000,2005.00000000,55,1950,,,1915.00000000,1659,,198.00000000,5.00000000,5249.00000000,,,,0.00000000,1.00000000,,,,,,,,2,4,,,
Praulienas pagasta bibliotēka,LV-BIB-000577,"Kalna iela 2, Prauliena, Praulienas pag., Madonas nov., LV-4825",56.82671,26.30404,300464,640600,Bibliotēkas,Jā,Lilita Cimdiņa,90000020970,26.02.1996,BLB1318,14.05.2004,Pašvaldības struktūrvienība,159A,26.09.2013,26.09.2018,1896,"Bibliotēkas pirmsākumi meklējami 1896.gadā pagaidu telpās mācītājmuižas skoliņā. Vēlāk dibina bibliotēkas biedrību. Sākot ar 1902.gadu Praulienas muižas kungs iznomā kroga telpas biedrības vajadzībām, kā arī bibliotēkas telpām. Par biedrības nama darbību cilvēki bijuši pateicīgi biedrības ekonomam- bibliotekāram Andrejam Rācenājam. Latvijas Bibliotēku padomes gada grāmatā I bibliotēka datēta ar 1924.gadu. No 1995. gada septembra bibliotēka atrodas Praulienas pagasta pašvaldības, tagad pārvaldes, ēkā Kalna ielā 2. ","Attīstīt bibliotēku par izglītības, kultūras un sabiedriskās saskarsmes centru. Bibliotekārā apkalpošana un jaunās informācijas nodrošināšana. Bibliotēkas pakalpojumi orientēti dažādām lasītāju grupām. Darbs ar bērniem un jauniešiem, pasākumu organizēšanā laba sadarbība ar Praulienas pamatskolas bibliotēku, Saikavas bibliotēku, PII ""Pasaciņa"", kultūras darba organizatori un citām pagasta iestādēm. ",Pārtraukums 12:00-13:00. Katra mēneša otrajā trešdienā seminārs.,Pašvaldības īpašums,1920,,462.70000000,,,Jā,60.00000000,11,234,65,169.00000000,1600.00000000,1210,390,,,3406.00000000,380,,543.00000000,324.00000000,7881.00000000,Jā,ALISE,,2.00000000,1.00000000,,,1.00000000,,,,,19,8,2,,
Praulienas pagasta Saikavas bibliotēka,LV-BIB-000578,"Vecsaikava 2, Vecsaikava, Praulienas pag., Madonas nov., LV-4825",56.76948,26.43452,294371,648787,Bibliotēkas,Jā,Līga Taukule,90000020970,26.02.1996,BLB1319,14.05.2004,Pašvaldības struktūrvienība,160A,26.09.2013,26.09.2018,1908,"Pirmsākumi meklējami 1908.gadā  Saikavas izglītības biedrībā. Saikavā bija divas skolas  - Lejas skola un Kalna skola, pirms kara Saikavā bibliotēkas bija katrā skolā. Vairāk bija jaunatnes grāmatas, ko izsniedza skolotājs. No 1944. -1946.gadam par Saikavas pagasta bibliotekāru strādājis Ilmārs Dreika. Saikavas bibliotēka Praulienas pagasta ""Buzulā"" atradās no 1967. -1996.gadam. 1996.gada rudenī Saikavas bibliotēkai ierādītas telpas daudzdzīvokļu mājā ""Vecsaikavā"".","Bibliotēka ir pagasta kultūras, izglītības un informācijas iestāde. Tā veic visas bibliotēkas funkcijas: apkalpo lasītājus, sniedz informāciju, ir kultūras un atpūtas vieta pagastā. Bibliotēka piedalās pagasta iedzīvotāju mūžizglītības procesa atbalstīšanā un veicināšanā. Attīstīt bibliotēku par publisko e-pakalpojumu saņemšanas vietu. ",Katra mēneša otrajā trešdienā seminārs Madonas novada bibliotēkā,Pašvaldības īpašums,1990,,2715.00000000,,,Jā,58.00000000,15,133,28,105.00000000,1408.00000000,1025,383,,,3639.00000000,363,,379.00000000,105.00000000,6164.00000000,Jā,ALISE,,2.00000000,2.00000000,,,,,,,,29,5,,,
Praulienas pamatskolas bibliotēka,LV-BIB-012901,"Pilsdārzi, Prauliena, Praulienas pag., Madonas nov., LV-4825",56.82427,26.30434,300193,640628,Bibliotēkas,Jā,Marija Ļaha,1612900111,27.12.1999,BLB1347,18.05.2004,Pašvaldības iestāde,2821,30.01.2014,03.02.2020,,,,,Pašvaldības īpašums,1980,,,,,,220.00000000,22,113,95,18.00000000,3893.00000000,681,3212,,,3047.00000000,760,,116.00000000,16.00000000,10848.00000000,,ALISE,,0.00000000,1.00000000,,,,,,,,8,5,,,
Preiļu 1. pamatskolas bibliotēka,LV-BIB-012946,"Daugavpils iela 34, Preiļi, Preiļu nov., LV-5301",56.29124,26.72211,241826,668469,Bibliotēkas,Jā,Nora Šņepste,90000272245,28.12.1996,BLB1047,19.03.2004,Pašvaldības iestāde,1792,23.04.2014,06.04.2020,,"1996.;Pēc Preiļu 1. vidusskolas reorganizācijas, 1996. g. 1. septembrī  izveidojās Preiļu 1. pamatskola un Preiļu Valsts ģimnāzija.;","2017./18. m. g. skola piedāvāja apgūt sekojošas izglītības programmas:;1.Vispārējās pamatizglītības programmu (kods 21011111), licence Nr. V-4434;2.Speciālās pamatizglītības programmu izglītojamajiem ar mācīšanās traucējumiem (kods 21015611), licence Nr. V-4286;3.Speciālās pamatizglītības programmu izglītojamajiem ar garīgās attīstības traucējumiem (kods 21015811), licence Nr. V-5447;4.Pamatizglītības otrā posma (7.-9.klase) matemātikas, dabaszinību un tehnikas virziena programma (kods 23013111), licence Nr. V-8643;5.Speciālās pamatizglītības programmu izglītojamajiem ar smagiem garīgās attīstības traucējumiem vai vairākiem smagiem attīstības traucējumiem (kods 21015911). licence Nr. V-8879;; ;2017./18. m. g. skolas bibliotēka realizēja interešu izglītības programmu ""Bibliotekārais pulciņš"";;","Bibliotēka lietotājus apkalpo: 08:30 - 16:00, pusdienu pārtraukums: 12:00 - 12:30, katra mēneša pirmā pirmdiena - metodiskā diena",Pašvaldības īpašums,2005,,,,,Jā,231.70000000,70,269,239,30.00000000,4211.00000000,427,3784,,,10901.00000000,9313,,765.00000000,0.00000000,16871.00000000,Jā,ALISE,,0.00000000,1.00000000,,,1.00000000,,,,,31,4,,,
Preiļu 2. vidusskolas bibliotēka,LV-BIB-012938,"Andreja Paulāna iela 2, Preiļi, Preiļu nov., LV-5301",56.28828,26.72497,241504,668659,Bibliotēkas,Jā,Oksana Dementjeva,90000285803,31.01.1997,BLB1045,19.03.2004,Pašvaldības iestāde,3294,18.05.2016,17.05.2022,,1944,Izglītības un informācijas iestāde,Mēneša pēdēja trešdiena - spodrības diena,Pašvaldības īpašums,1958,,3934.00000000,,,Jā,48.00000000,10,246,201,45.00000000,3240.00000000,492,2748,,,4733.00000000,3804,,982.00000000,1561.00000000,19348.00000000,Jā,ALISE,,0.00000000,2.00000000,1.00000000,1.00000000,1.00000000,,,,,39,10,,,
Preiļu Galvenā bibliotēka,LV-BIB-000607,"Kārsavas iela 4, Preiļi, Preiļu nov., LV-5301",56.29543,26.72745,242305,668781,Bibliotēkas,Jā,Ilona Skorodihina,90000065720,22.03.1996,BLB1700,05.11.2004,Pašvaldības iestāde,97B,19.09.2017,19.09.2022,1930,"Preiļu pilsētas valdes sēdē 1930. gada 21. oktobrī vienbalsīgi nolēma bibliotēku - lasītavu atvērt š.g.23. oktobrī un turēt atvērtu ik dienas no plkst. 18.00-22.00. (2673. f. 1. apr. 1.lieta, 89. lp. o.p.)","Sniegt kvalitatīvus pakalpojumus bibliotēkas lietotājiem un ar citu bibliotēku palīdzību nodrošināt bibliotēku pakalpojumu pieejamību. Koordinēt un metodiski vadīt Preiļu, Aglonas,  Vārkavas un Riebiņu novadu bibliotēku darbu.",Katra mēneša pēdējā trešdiena - metodiskā un spodrības diena.;Bērnu literatūras nodaļas darba laiks darbdienās - 09.00.-18.00;,Pašvaldības īpašums,1979,,3801.00000000,,Jā,Jā,1999.00000000,90,2912,984,1928.00000000,54127.00000000,35558,18569,19061,170013,75727.00000000,14993,140,2745.00000000,4979.00000000,66536.00000000,Jā,ALISE,,5.00000000,1.00000000,2.00000000,,6.00000000,Latviešu valoda;Krievu valoda;Angļu valoda,Microsoft,,17,147,111,1,1,
Preiļu novada Aizkalnes bibliotēka,LV-BIB-000608,"Raiņa iela 5, Aizkalne, Aizkalnes pag., Preiļu nov., LV-5305",56.20107,26.78252,231944,672612,Bibliotēkas,Jā,Rita Džeriņa,90000065720,22.03.1996,BLB0046,29.09.2003,Pašvaldības iestāde,355A,11.06.2014,11.06.2019,1950,1950,"Preiļu novada pašvaldības kultūras, izglītības un informācijas iestāde. Bibliotēka piedāvā mūsdienīgu iespieddarbu krājumu un digitālos informācijas resursus, apmācības datorlietotājiem, tematiskas un izglītojošas  izstādes un pasākumus. Darbības prioritāte ir; novadpētniecības un vietējas nozīmes kultūras mantojuma popularizēšana.",Spodrības diena - mēneša pēdējā piektdiena,Pašvaldības īpašums,1980,,213.20000000,,Jā,,64.00000000,6,130,18,112.00000000,1991.00000000,1796,195,,73123,1996.00000000,179,,673.00000000,720.00000000,5297.00000000,Jā,ALISE,,2.00000000,1.00000000,1.00000000,,1.00000000,,,,,36,6,,,
Preiļu novada Līču bibliotēka,LV-BIB-000609,"Jaunatnes iela 1, Līči, Preiļu pag., Preiļu nov., LV-5301",56.2995,26.68977,242667,666432,Bibliotēkas,Jā,Iveta Mičule,90000065720,22.03.1996,BLB0520,15.01.2004,Pašvaldības iestāde,479A,27.05.2014,27.05.2019,1956,Līču bibliotēka dibināta 1956.gadā kā Sondoru ciema bibliotēka.,"Līču bibliotēka sniedz iedzīvotājiem šādus bezmaksas pakalpojumus: grāmatu un preses izdevumu izsniegšana, datoru un interneta izmantošana, uzziņas, iespēja apmeklēt dažādus pasākumus, kā arī maksas pakalpojumu - izdrukas, kopēšana.;;",,Pašvaldības īpašums,1983,,,,,Jā,120.00000000,14,133,52,81.00000000,1250.00000000,882,368,9,1473,2703.00000000,355,,615.00000000,863.00000000,6322.00000000,Jā,ALISE,,2.00000000,1.00000000,,,1.00000000,,,,,13,4,,,
Preiļu novada Pelēču pagasta Ārdavas bibliotēka,LV-BIB-000620,"Māja Nr. 1, Ārdava, Pelēču pag., Preiļu nov., LV-5329",56.14096,26.82949,225376,675799,Bibliotēkas,Jā,Sandra Petrova,90000065487,12.11.1996,BLB1074,12.11.2003,Pašvaldības iestāde,353,11.06.2014,11.06.2019,1950,1950.gads.,"Preiļu novada pašvaldības kultūras,izglītības un informācijas iestāde.",Pusdienas no 12:30 -13:00;,Pašvaldības īpašums,2003,,,,Jā,Jā,54.00000000,10,102,27,75.00000000,3018.00000000,2015,1003,30,42942,2588.00000000,415,,485.00000000,725.00000000,3499.00000000,Jā,ALISE,,2.00000000,1.00000000,,,1.00000000,,,,,9,25,,,
Preiļu novada Pelēču pagasta bibliotēka,LV-BIB-000619,"Liepu iela 6, Pelēči, Pelēču pag., Preiļu nov., LV-5320",56.14905,26.72425,226013,669227,Bibliotēkas,Jā,Everita Rasčevska,90000065720,22.03.1996,BLB0175,12.11.2003,Pašvaldības iestāde,354 A,11.06.2014,11.06.2019,,1962.gads,"Pelēču pagasta bibliotēka ir Preiļu novada pašvaldības kultūras, izglītības un informācijas iestāde.;Bibliotēka nodrošina bibliotekāros pakalpojumus, informācijas pieejamību ikvienam novada iedzīvotājam un visiem interesentiem, veic literatūras popularizēšanu, novadpētniecības materiālu apzināšanu, vākšanu un uzkrāšanu.",,Pašvaldības īpašums,1974,,500.00000000,,,,96.00000000,9,185,66,119.00000000,3264.00000000,1844,1420,,55894,4278.00000000,919,,718.00000000,1426.00000000,7055.00000000,Jā,ALISE,,2.00000000,,,,2.00000000,,,,,38,35,1,,
Preiļu novada Saunas pagasta Smelteru bibliotēka,LV-BIB-000633,"Smelteru bibliotēka, Smelteri, Saunas pag., Preiļu nov., LV-5326",56.4215,26.67508,256204,664995,Bibliotēkas,Jā,Anna Lasmane,90000065720,22.03.1996,BLB0519,15.01.2004,Pašvaldības iestāde,752A,16.11.2015,16.11.2020,1969,"Pamatojoties uz 1.ierakstu bibliotēkas inventāra grāmatā, var liecināt, ka bibliotēka dibināta 1950.gada decembrī","Bibliotēka ir Preiļu novada pašvaldības kultūras, izglītības un informācijas iestāde, kas veic iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamībuun tās izmantošanu","Pusdienu pārtraukums no 13:00 līdz 14:00;Brīvdienas - svētdiena, pirmdiena;Spodrības diena - katra mēneša pēdējā sestdiena",Pašvaldības īpašums,1969,,966.00000000,,Jā,Jā,148.00000000,21,151,54,97.00000000,2036.00000000,1151,885,68,412,3744.00000000,862,,454.00000000,992.00000000,5631.00000000,Jā,ALISE,,2.00000000,,,,2.00000000,,,,,55,19,1,,
